Gene Symbol,technical_prompt,uniprot_prompt
GMPR,HeLa cells with GMPR knockdown showing high migration (distance),"GMPR normally functions as Catalyzes the irreversible NADPH-dependent deamination of GMP to IMP. It functions in the conversion of nucleobase, nucleoside and nucleotide derivatives of G to A nucleotides, and in maintaining the intracellular balance of A and G nucleotides"
GMPR2,HeLa cells with GMPR2 knockdown showing low migration (distance),"GMPR2 normally functions as Catalyzes the irreversible NADPH-dependent deamination of GMP to IMP. It functions in the conversion of nucleobase, nucleoside and nucleotide derivatives of G to A nucleotides, and in maintaining the intracellular balance of A and G nucleotides (PubMed:12009299, PubMed:12669231, PubMed:16359702, PubMed:22037469). Plays a role in modulating cellular differentiation (PubMed:12669231)"
GPD1L,HeLa cells with GPD1L knockdown showing high migration (distance) and migration (speed),"GPD1L normally functions as Plays a role in regulating cardiac sodium current; decreased enzymatic activity with resulting increased levels of glycerol 3-phosphate activating the DPD1L-dependent SCN5A phosphorylation pathway, may ultimately lead to decreased sodium current; cardiac sodium current may also be reduced due to alterations of NAD(H) balance induced by DPD1L"
GRHPR,,"GRHPR normally functions as Enzyme with hydroxy-pyruvate reductase, glyoxylate reductase and D-glycerate dehydrogenase enzymatic activities. Reduces hydroxypyruvate to D-glycerate, glyoxylate to glycolate oxidizes D-glycerate to hydroxypyruvate (By similarity)"
GZMA,HeLa cells with GZMA knockdown showing high migration (distance) and migration (speed),"GZMA normally functions as Abundant protease in the cytosolic granules of cytotoxic T-cells and NK-cells which activates caspase-independent pyroptosis when delivered into the target cell through the immunological synapse. It cleaves after Lys or Arg. Cleaves APEX1 after 'Lys-31' and destroys its oxidative repair activity. Cleaves the nucleosome assembly protein SET after 'Lys-189', which disrupts its nucleosome assembly activity and allows the SET complex to translocate into the nucleus to nick and degrade the DNA"
GZMB,HeLa cells with GZMB knockdown showing low migration (distance),"GZMB normally functions as Abundant protease in the cytosolic granules of cytotoxic T-cells and NK-cells which activates caspase-independent pyroptosis when delivered into the target cell through the immunological synapse (By similarity). It cleaves after Asp (PubMed:9765264). Once delivered into the target cell, acts by catalyzing cleavage of gasdermin-E (GSDME), releasing the pore-forming moiety of GSDME, thereby triggering pyroptosis and target cell death (By similarity). Seems to be linked to an activation cascade of caspases (aspartate-specific cysteine proteases) responsible for apoptosis execution (By similarity). Cleaves caspase-3 and -9 (CASP3 and CASP9, respectively) to give rise to active enzymes mediating apoptosis (PubMed:9765264). Cleaves and activates CASP7 in response to bacterial infection, promoting plasma membrane repair (By similarity)"
GZMH,HeLa cells with GZMH knockdown showing low migration (distance),GZMH normally functions as Cytotoxic chymotrypsin-like serine protease with preference for bulky and aromatic residues at the P1 position and acidic residues at the P3' and P4' sites. Probably necessary for target cell lysis in cell-mediated immune responses. Participates in the antiviral response via direct cleavage of several proteins essential for viral replication
GZMK,,
GZMM,HeLa cells with GZMM knockdown showing low migration (distance),"GZMM normally functions as Cleaves peptide substrates after methionine, leucine, and norleucine. Physiological substrates include EZR, alpha-tubulins and the apoptosis inhibitor BIRC5/Survivin. Promotes caspase activation and subsequent apoptosis of target cells (By similarity)"
HABP2,HeLa cells with HABP2 knockdown showing high migration (distance) and migration (speed),HABP2 normally functions as Cleaves the alpha-chain at multiple sites and the beta-chain between 'Lys-53' and 'Lys-54' but not the gamma-chain of fibrinogen and therefore does not initiate the formation of the fibrin clot and does not cause the fibrinolysis directly. It does not cleave (activate) prothrombin and plasminogen but converts the inactive single chain urinary plasminogen activator (pro-urokinase) to the active two chain form. Activates coagulation factor VII (By similarity)
HAO1,HeLa cells with HAO1 knockdown showing high migration (distance) and migration (speed),"HAO1 normally functions as Broad substrate specificity (S)-2-hydroxy-acid oxidase that preferentially oxidizes glycolate. The glyoxylate produced by the oxidation of glycolate can then be utilized by alanine-glyoxylate aminotransferase for the peroxisomal synthesis of glycine; this pathway appears to be an important step for the detoxification of glyoxylate which, if allowed to accumulate, may be metabolized to oxalate with formation of kidney stones. Can also catalyze the oxidation of glyoxylate, and long chain hydroxyacids such as 2-hydroxyhexadecanoate and 2-hydroxyoctanoate. Active in vitro with the artificial electron acceptor 2,6-dichlorophenolindophenol (DCIP), but O2 is believed to be the physiological electron acceptor, leading to the production of H2O2"
HAO2,HeLa cells with HAO2 knockdown showing high migration (distance) and increased proliferation,"HAO2 normally functions as Oxidase that catalyzes the oxidation of medium and long chain hydroxyacids such as 2-hydroxyhexadecanoate and 2-hydroxyoctanoate, to the correspondong 2-oxoacids. Its role in the oxidation of 2-hydroxy fatty acids may contribute to the general pathway of fatty acid alpha-oxidation. Active in vitro with the artificial electron acceptor 2,6-dichlorophenolindophenol (DCIP), but O2 is believed to be the physiological electron acceptor, leading to the production of H2O2"
HGF,HeLa cells with HGF knockdown showing high migration (distance) and migration (speed),"HGF normally functions as Potent mitogen for mature parenchymal hepatocyte cells, seems to be a hepatotrophic factor, and acts as a growth factor for a broad spectrum of tissues and cell types (By similarity). Activating ligand for the receptor tyrosine kinase MET by binding to it and promoting its dimerization (By similarity). Activates MAPK signaling following TMPRSS13 cleavage and activation (By similarity)"
HGFAC,HeLa cells with HGFAC knockdown showing low migration (distance),HGFAC normally functions as Activates hepatocyte growth factor (HGF) by converting it from a single chain to a heterodimeric form
HIBCH,HeLa cells with HIBCH knockdown showing high migration (distance),"HIBCH normally functions as Hydrolyzes 3-hydroxyisobutyryl-CoA (HIBYL-CoA), a saline catabolite. Has high activity toward isobutyryl-CoA. Could be an isobutyryl-CoA dehydrogenase that functions in valine catabolism. Also hydrolyzes 3-hydroxypropanoyl-CoA (By similarity)"
HMCN1,HeLa cells with HMCN1 knockdown showing high migration (distance),"HMCN1 normally functions as Involved in transforming growth factor beta-mediated rearrangement of the podocyte cytoskeleton which includes reduction of F-actin fibers and broadening, flattening and elongation of podocytes (By similarity). Plays a role in basement membrane organization (PubMed:34504132). May promote cleavage furrow maturation during cytokinesis in preimplantation embryos (PubMed:21215633). May play a role in the architecture of adhesive and flexible epithelial cell junctions (PubMed:17015624). May play a role during myocardial remodeling by imparting an effect on cardiac fibroblast migration (PubMed:24951538)"
HMOX1,,"HMOX1 normally functions as Catalyzes the oxidative cleavage of heme at the alpha-methene bridge carbon, released as carbon monoxide (CO), to generate biliverdin IXalpha, while releasing the central heme iron chelate as ferrous iron (PubMed:1575508, PubMed:1935972, PubMed:3865203). Affords protection against programmed cell death and this cytoprotective effect relies on its ability to catabolize free heme and prevent it from sensitizing cells to undergo apoptosis (By similarity)"
HP,HeLa cells with HP knockdown showing high migration (distance) and migration (speed),"HP normally functions as As a result of hemolysis, hemoglobin is found to accumulate in the kidney and is secreted in the urine. Haptoglobin captures, and combines with free plasma hemoglobin to allow hepatic recycling of heme iron and to prevent kidney damage. Haptoglobin also acts as an antioxidant, has antibacterial activity, and plays a role in modulating many aspects of the acute phase response. Hemoglobin/haptoglobin complexes are rapidly cleared by the macrophage CD163 scavenger receptor expressed on the surface of liver Kupfer cells through an endocytic lysosomal degradation pathway"
HPDL,HeLa cells with HPDL knockdown showing low migration (distance),"HPDL normally functions as Iron-dependent dioxygenase that catalyzes the conversion of 4-hydroxyphenylpyruvate (4-HPPA) to 4-hydroxymandelate (4-HMA) in the mitochondria, one of the steps in the biosynthesis of coenzyme Q10 from tyrosine"
HPN,HeLa cells with HPN knockdown showing high migration (distance) and migration (speed),"HPN normally functions as Serine protease that cleaves extracellular substrates, and contributes to the proteolytic processing of growth factors, such as HGF and MST1/HGFL. Plays a role in cell growth and maintenance of cell morphology. Plays a role in the proteolytic processing of ACE2 (By similarity). Mediates the proteolytic cleavage of urinary UMOD that is required for UMOD polymerization (PubMed:26673890)"
HS3ST1,HeLa cells with HS3ST1 knockdown showing low migration (distance),HS3ST1 normally functions as Sulfotransferase that utilizes 3'-phospho-5'-adenylyl sulfate (PAPS) to catalyze the transfer of a sulfo group to position 3 of glucosamine residues in heparan. Catalyzes the rate limiting step in the biosynthesis of heparan sulfate (HSact). This modification is a crucial step in the biosynthesis of anticoagulant heparan sulfate as it completes the structure of the antithrombin pentasaccharide binding site (By similarity)
HS3ST2,HeLa cells with HS3ST2 knockdown showing low migration (distance),"HS3ST2 normally functions as Sulfotransferase that utilizes 3'-phospho-5'-adenylyl sulfate (PAPS) to catalyze the transfer of a sulfo group to an N-unsubstituted glucosamine linked to a 2-O-sulfo iduronic acid unit on heparan sulfate (By similarity). Catalyzes the O-sulfation of glucosamine in GlcA2S-GlcNS (By similarity). Unlike HS3ST1/3-OST-1, does not convert non-anticoagulant heparan sulfate to anticoagulant heparan sulfate (By similarity)"
HS3ST3A1,HeLa cells with HS3ST3A1 knockdown showing high migration (distance),"HS3ST3A1 normally functions as Sulfotransferase that utilizes 3'-phospho-5'-adenylyl sulfate (PAPS) to catalyze the transfer of a sulfo group to an N-unsubstituted glucosamine linked to a 2-O-sulfo iduronic acid unit on heparan sulfate. Catalyzes the O-sulfation of glucosamine in IdoUA2S-GlcNS and also in IdoUA2S-GlcNH2. Unlike HS3ST1/3-OST-1, does not convert non-anticoagulant heparan sulfate to anticoagulant heparan sulfate (By similarity)"
HS3ST3B1,,"HS3ST3B1 normally functions as Sulfotransferase that utilizes 3'-phospho-5'-adenylyl sulfate (PAPS) to catalyze the transfer of a sulfo group to an N-unsubstituted glucosamine linked to a 2-O-sulfo iduronic acid unit on heparan sulfate (PubMed:10520990, PubMed:9988768). Catalyzes the O-sulfation of glucosamine in IdoUA2S-GlcNS and also in IdoUA2S-GlcNH2 (PubMed:10520990, PubMed:9988768). The substrate-specific O-sulfation generates an enzyme-modified heparan sulfate which acts as a binding receptor to Herpes simplex virus-1 (HSV-1) and permits its entry (PubMed:10520990). Unlike HS3ST1/3-OST-1, does not convert non-anticoagulant heparan sulfate to anticoagulant heparan sulfate (PubMed:9988768)"
HS3ST5,HeLa cells with HS3ST5 knockdown showing low migration (distance),"HS3ST5 normally functions as Sulfotransferase that utilizes 3'-phospho-5'-adenylyl sulfate (PAPS) to catalyze the transfer of a sulfo group to heparan sulfate. The substrate-specific O-sulfation generates an enzyme-modified heparan sulfate which acts as a binding receptor to Herpes Simplex Virus-1 (HSV-1) and permits its entry. Unlike 3-OST-1, does not convert non-anticoagulant heparan sulfate to anticoagulant heparan sulfate"
HSD17B6,HeLa cells with HSD17B6 knockdown showing high migration (distance),"HSD17B6 normally functions as NAD-dependent oxidoreductase with broad substrate specificity that shows both oxidative and reductive activity (in vitro). Has 17-beta-hydroxysteroid dehydrogenase activity towards various steroids (in vitro). Converts 5-alpha-androstan-3-alpha,17-beta-diol to androsterone and estradiol to estrone (in vitro). Has 3-alpha-hydroxysteroid dehydrogenase activity towards androsterone (in vitro). Has retinol dehydrogenase activity towards all-trans-retinol (in vitro). Can convert androsterone to epi-androsterone. Androsterone is first oxidized to 5-alpha-androstane-3,17-dione and then reduced to epi-andosterone. Can act on both C-19 and C-21 3-alpha-hydroxysteroids (By similarity)"
HSD17B7P2,HeLa cells with HSD17B7P2 knockdown showing high migration (distance) and migration (speed),
HSDL2,HeLa cells with HSDL2 knockdown showing high migration (distance) and increased proliferation,HSDL2 normally functions as Has apparently no steroid dehydrogenase activity. Controls bile acid (BA) and lipid metabolism in response to nutritional cues
HTRA1,HeLa cells with HTRA1 knockdown showing high migration (distance),"HTRA1 normally functions as Serine protease with a variety of targets, including extracellular matrix proteins and proteoglycans such as biglycan, syndecan-4 and glypican-4. Through cleavage of proteoglycans, may release soluble FGF-glycosaminoglycan complexes that promote the range and intensity of FGF signals in the extracellular space. Consequently, facilitates inductive processes in the developing embryo, such as posteriorization, mesoderm induction and neuronal differentiation. Regulates the availability of insulin-like growth factors (IGFs) by cleaving IGF-binding proteins. Inhibits signaling mediated by TGF-beta family members. Consequently, may regulate many physiological processes. Intracellularly, degrades TSC2, leading to the activation of TSC2 downstream targets"
HTRA2,HeLa cells with HTRA2 knockdown showing high migration (distance),"HTRA2 normally functions as Serine protease that shows proteolytic activity against a non-specific substrate beta-casein. Promotes or induces cell death either by direct binding to and inhibition of BIRC proteins (also called inhibitor of apoptosis proteins, IAPs), leading to an increase in caspase activity, or by a BIRC inhibition-independent, caspase-independent and serine protease activity-dependent mechanism. Can antagonize antiapoptotic activity of th/Diap1 by directly inducing the degradation of th/Diap1"
HTRA3,HeLa cells with HTRA3 knockdown showing high migration (distance) and migration (speed),"HTRA3 normally functions as Serine protease that cleaves beta-casein/CSN2 as well as several extracellular matrix (ECM) proteoglycans such as decorin/DCN, biglycan/BGN and fibronectin/FN1. Inhibits signaling mediated by TGF-beta family proteins possibly indirectly by degradation of these ECM proteoglycans (By similarity). May act as a tumor suppressor. Negatively regulates, in vitro, trophoblast invasion during placental development and may be involved in the development of the placenta in vivo. May also have a role in ovarian development, granulosa cell differentiation and luteinization (PubMed:21321049, PubMed:22229724)"
HTRA4,HeLa cells with HTRA4 knockdown showing high migration (distance),HTRA4 normally functions as Serine protease
ILKAP,HeLa cells with ILKAP knockdown showing high migration (distance) and migration (speed),"ILKAP normally functions as Protein phosphatase that may play a role in regulation of cell cycle progression via dephosphorylation of its substrates whose appropriate phosphorylation states might be crucial for cell proliferation. Selectively associates with integrin linked kinase (ILK), to modulate cell adhesion and growth factor signaling. Inhibits the ILK-GSK3B signaling axis and may play an important role in inhibiting oncogenic transformation"
IMMP1L,HeLa cells with IMMP1L knockdown showing high migration (distance),"IMMP1L normally functions as Catalyzes the removal of transit peptides required for the targeting of proteins from the mitochondrial matrix, across the inner membrane, into the inter-membrane space. Known to process the nuclear encoded protein DIABLO"
IMMP2L,HeLa cells with IMMP2L knockdown showing low migration (distance),"IMMP2L normally functions as Catalyzes the removal of transit peptides required for the targeting of proteins from the mitochondrial matrix, across the inner membrane, into the inter-membrane space. Known to process the nuclear encoded protein DIABLO (By similarity)"
IMPA1,HeLa cells with IMPA1 knockdown showing high migration (distance),"IMPA1 normally functions as Phosphatase involved in the dephosphorylation of myo-inositol monophosphate to generate myo-inositol. Is also able to dephosphorylate scyllo-inositol-phosphate, myo-inositol 1,4-diphosphate, scyllo-inositol-1,3-diphosphate and scyllo-inositol-1,4-diphosphate. Also dephosphorylates in vitro other sugar-phosphates including D-galactose-1-phosphate, glucose-1-phosphate, glucose-6-phosphate, fructose-1-phosphate, beta-glycerophosphate and 2'-AMP. Responsible for the provision of inositol required for synthesis of phosphatidylinositol and polyphosphoinositides, and involved in maintaining normal brain function. Has been implicated as the pharmacological target for lithium Li(+) action in brain"
IMPA2,HeLa cells with IMPA2 knockdown showing high migration (distance),"IMPA2 normally functions as Phosphatase that can use myo-inositol monophosphates, myo-inositol 1,4-diphosphate, scyllo-inositol-1,4-diphosphate, glucose-1-phosphate, beta-glycerophosphate and 2'-AMP as substrates in vitro. No physiological substrates has been described yet. Has been implicated as the pharmacological target for lithium Li(+) action in brain"
INCENP,HeLa cells with INCENP knockdown showing high migration (distance) and migration (speed),"INCENP normally functions as Component of the chromosomal passenger complex (CPC), a complex that acts as a key regulator of mitosis. The CPC complex has essential functions at the centromere in ensuring correct chromosome alignment and segregation and is required for chromatin-induced microtubule stabilization and spindle assembly. Acts as a scaffold regulating CPC localization and activity. The C-terminus associates with AURKB or AURKC, the N-terminus associated with BIRC5/survivin and CDCA8/borealin tethers the CPC to the inner centromere, and the microtubule binding activity within the central SAH domain directs AURKB/C toward substrates near microtubules (PubMed:12925766, PubMed:15316025, PubMed:27332895). The flexibility of the SAH domain is proposed to allow AURKB/C to follow substrates on dynamic microtubules while ensuring CPC docking to static chromatin (By similarity). Activates AURKB and AURKC (PubMed:27332895). Required for localization of CBX5 to mitotic centromeres (PubMed:21346195). Controls the kinetochore localization of BUB1 (PubMed:16760428)"
INDOL1,HeLa cells with INDOL1 knockdown showing low migration (distance),INDOL1 normally functions as Catalyzes the first and rate-limiting step in the kynurenine pathway of tryptophan catabolism. Involved in immune regulation
INPP1,,"INPP1 normally functions as Mg(2+)-dependent phosphatase that catalyzes the hydrolysis of the 1-position phosphate from inositol 1,4-bisphosphate and inositol 1,3,4-trisphosphate and participates in inositol phosphate metabolism"
INPP4B,HeLa cells with INPP4B knockdown showing high migration (distance) and migration (speed),"INPP4B normally functions as Catalyzes the hydrolysis of the 4-position phosphate of phosphatidylinositol 3,4-bisphosphate, inositol 1,3,4-trisphosphate and inositol 3,4-trisphosphate (PubMed:24070612, PubMed:24591580). Plays a role in the late stages of macropinocytosis by dephosphorylating phosphatidylinositol 3,4-bisphosphate in membrane ruffles (PubMed:24591580). The lipid phosphatase activity is critical for tumor suppressor function. Antagonizes the PI3K-AKT/PKB signaling pathway by dephosphorylating phosphoinositides and thereby modulating cell cycle progression and cell survival (PubMed:19647222, PubMed:24070612)"
INPP5A,HeLa cells with INPP5A knockdown showing high migration (distance) and migration (speed),"INPP5A normally functions as Phosphatase that specifically hydrolyzes the 5-phosphate of inositol 1,4,5-trisphosphate to inositol 1,4-bisphosphate, and inositol 1,3,4,5-tetrasphosphate to inositol 1,3,4-trisphosphate (PubMed:8626616). Plays a crucial role in the survival of cerebellar Purkinje cells (By similarity)"
INPP5D,HeLa cells with INPP5D knockdown showing high migration (distance) and increased proliferation,"INPP5D normally functions as Phosphatidylinositol (PtdIns) phosphatase that specifically hydrolyzes the 5-phosphate of phosphatidylinositol-3,4,5-trisphosphate (PtdIns(3,4,5)P3) to produce PtdIns(3,4)P2, thereby negatively regulating the PI3K (phosphoinositide 3-kinase) pathways. Able also to hydrolyzes the 5-phosphate of phosphatidylinositol-4,5-bisphosphate (PtdIns(4,5)P3) and inositol 1,3,4,5-tetrakisphosphate. Acts as a negative regulator of B-cell antigen receptor signaling. Mediates signaling from the FC-gamma-RIIB receptor (FCGR2B), playing a central role in terminating signal transduction from activating immune/hematopoietic cell receptor systems. Acts as a negative regulator of myeloid cell proliferation/survival and chemotaxis, mast cell degranulation, immune cells homeostasis, integrin alpha-IIb/beta-3 signaling in platelets and JNK signaling in B-cells"
INPP5E,HeLa cells with INPP5E knockdown showing high migration (distance),"INPP5E normally functions as Phosphatidylinositol (PtdIns) phosphatase that specifically hydrolyzes the 5-phosphate of phosphatidylinositol-3,4,5-trisphosphate (PtdIns(3,4,5)P3), phosphatidylinositol 4,5-bisphosphate (PtdIns(4,5)P2) and phosphatidylinositol 3,5-bisphosphate (PtdIns(3,5)P2) (By similarity) (PubMed:10764818). Specific for lipid substrates, inactive towards water soluble inositol phosphates (PubMed:10764818). Plays an essential role in the primary cilium by controlling ciliary growth and phosphoinositide 3-kinase (PI3K) signaling and stability (By similarity)"
INPP5F,HeLa cells with INPP5F knockdown showing high migration (distance),"INPP5F normally functions as Inositol 4-phosphatase which mainly acts on phosphatidylinositol 4-phosphate. May be functionally linked to OCRL, which converts phosphatidylinositol 4,5-bisphosphate to phosphatidylinositol, for a sequential dephosphorylation of phosphatidylinositol 4,5-bisphosphate at the 5 and 4 position of inositol, thus playing an important role in the endocytic recycling (PubMed:25869668, PubMed:25869669). Regulator of TF:TFRC and integrins recycling pathway, is also involved in cell migration mechanisms (By similarity). Modulates AKT/GSK3B pathway by decreasing AKT and GSK3B phosphorylation (PubMed:17322895). Negatively regulates STAT3 signaling pathway through inhibition of STAT3 phosphorylation and translocation to the nucleus (By similarity). Functionally important modulator of cardiac myocyte size and of the cardiac response to stress (PubMed:19875726). May play a role as negative regulator of axon regeneration after central nervous system injuries (PubMed:26203138)"
INPPL1,,"INPPL1 normally functions as Phosphatidylinositol (PtdIns) phosphatase that specifically hydrolyzes the 5-phosphate of phosphatidylinositol-3,4,5-trisphosphate (PtdIns(3,4,5)P3) to produce PtdIns(3,4)P2, thereby negatively regulating the PI3K (phosphoinositide 3-kinase) pathways (PubMed:10958682). Required for correct mitotic spindle orientation and therefore progression of mitosis (By similarity). Plays a central role in regulation of PI3K-dependent insulin signaling, although the precise molecular mechanisms and signaling pathways remain unclear (PubMed:11343120). While overexpression reduces both insulin-stimulated MAP kinase and Akt activation, its absence does not affect insulin signaling or GLUT4 trafficking (PubMed:14744864). Confers resistance to dietary obesity (PubMed:15654325). May act by regulating AKT2, but not AKT1, phosphorylation at the plasma membrane (PubMed:14744864). Part of a signaling pathway that regulates actin cytoskeleton remodeling (By similarity). Required for the maintenance and dynamic remodeling of actin structures as well as in endocytosis, having a major impact on ligand-induced EGFR internalization and degradation (By similarity). Participates in regulation of cortical and submembraneous actin by hydrolyzing PtdIns(3,4,5)P3 thereby regulating membrane ruffling (By similarity). Regulates cell adhesion and cell spreading (PubMed:29749928). Required for HGF-mediated lamellipodium formation, cell scattering and spreading (By similarity). Acts as a negative regulator of EPHA2 receptor endocytosis by inhibiting via PI3K-dependent Rac1 activation (By similarity). Acts as a regulator of neuritogenesis by regulating PtdIns(3,4,5)P3 level and is required to form an initial protrusive pattern, and later, maintain proper neurite outgrowth (By similarity). Acts as a negative regulator of the FC-gamma-RIIA receptor (FCGR2A) (By similarity). Mediates signaling from the FC-gamma-RIIB receptor (FCGR2B), playing a central role in terminating signal transduction from activating immune/hematopoietic cell receptor systems (PubMed:10789675, PubMed:15456754). Upon stimulation by EGF, it is recruited by EGFR and dephosphorylates PtdIns(3,4,5)P3 (By similarity). Plays a negative role in regulating the PI3K-PKB pathway, possibly by inhibiting PKB activity (By similarity). Down-regulates Fc-gamma-R-mediated phagocytosis in macrophages independently of INPP5D/SHIP1 (PubMed:15557176, PubMed:16179375). In macrophages, down-regulates NF-kappa-B-dependent gene transcription by regulating macrophage colony-stimulating factor (M-CSF)-induced signaling (PubMed:15557176, PubMed:16179375). Plays a role in the localization of AURKA and NEDD9/HEF1 to the basolateral membrane at interphase in polarized cysts, thereby mediates cell cycle homeostasis, cell polarization and cilia assembly (By similarity). Additionally promotion of cilia growth is also facilitated by hydrolysis of (PtdIns(3,4,5)P3) to PtdIns(3,4)P2 (By similarity). Promotes formation of apical membrane-initiation sites during the initial stages of lumen formation via Rho family-induced actin filament organization and CTNNB1 localization to cell-cell contacts (By similarity). May also hydrolyze PtdIns(1,3,4,5)P4, and could thus affect the levels of the higher inositol polyphosphates like InsP6. Involved in endochondral ossification (By similarity)"
IPO4,HeLa cells with IPO4 knockdown showing high migration (distance),"IPO4 normally functions as Nuclear transport receptor that mediates nuclear import of proteins, such as histones, RPS3A, TNP2 and VDR (PubMed:11823430, PubMed:16207705, PubMed:17682055, PubMed:21454524). Serves as receptor for nuclear localization signals (NLS) in cargo substrates (PubMed:11823430, PubMed:16207705). Is thought to mediate docking of the importin/substrate complex to the nuclear pore complex (NPC) through binding to nucleoporin and the complex is subsequently translocated through the pore by an energy requiring, Ran-dependent mechanism (PubMed:11823430, PubMed:16207705). At the nucleoplasmic side of the NPC, Ran binds to the importin, the importin/substrate complex dissociates and importin is re-exported from the nucleus to the cytoplasm where GTP hydrolysis releases Ran (PubMed:11823430). The directionality of nuclear import is thought to be conferred by an asymmetric distribution of the GTP- and GDP-bound forms of Ran between the cytoplasm and nucleus (PubMed:11823430). Mediates the nuclear import of the histone H3-H4 dimer when in complex with ASF1 (ASF1A or ASF1B) (PubMed:21454524, PubMed:29408485). Mediates the ligand-independent nuclear import of vitamin D receptor (VDR) (PubMed:16207705). In vitro, mediates the nuclear import of human cytomegalovirus UL84 by recognizing a non-classical NLS (PubMed:12610148)"
ITGB3,HeLa cells with ITGB3 knockdown showing high migration (distance),"ITGB3 normally functions as Integrin alpha-V/beta-3 (ITGAV:ITGB3) is a receptor for cytotactin, fibronectin, laminin, matrix metalloproteinase-2, osteopontin, osteomodulin, prothrombin, thrombospondin, vitronectin and von Willebrand factor. Integrin alpha-IIB/beta-3 (ITGA2B:ITGB3) is a receptor for fibronectin, fibrinogen, plasminogen, prothrombin, thrombospondin and vitronectin. Integrins alpha-IIB/beta-3 and alpha-V/beta-3 recognize the sequence R-G-D in a wide array of ligands. Integrin alpha-IIB/beta-3 recognizes the sequence H-H-L-G-G-G-A-K-Q-A-G-D-V in fibrinogen gamma chain. Following activation integrin alpha-IIB/beta-3 brings about platelet/platelet interaction through binding of soluble fibrinogen. This step leads to rapid platelet aggregation which physically plugs ruptured endothelial surfaces. Fibrinogen binding enhances SELP expression in activated platelets (By similarity). ITGAV:ITGB3 binds to fractalkine (CX3CL1) and acts as its coreceptor in CX3CR1-dependent fractalkine signaling. ITGAV:ITGB3 binds to NRG1 (via EGF domain) and this binding is essential for NRG1-ERBB signaling. ITGAV:ITGB3 binds to FGF1 and this binding is essential for FGF1 signaling. ITGAV:ITGB3 binds to FGF2 and this binding is essential for FGF2 signaling (By similarity). ITGAV:ITGB3 binds to IGF1 and this binding is essential for IGF1 signaling (By similarity). ITGAV:ITGB3 binds to IGF2 and this binding is essential for IGF2 signaling (By similarity). ITGAV:ITGB3 binds to IL1B and this binding is essential for IL1B signaling (By similarity). ITGAV:ITGB3 binds to PLA2G2A via a site (site 2) which is distinct from the classical ligand-binding site (site 1) and this induces integrin conformational changes and enhanced ligand binding to site 1 (By similarity). ITGAV:ITGB3 acts as a receptor for fibrillin-1 (FBN1) and mediates R-G-D-dependent cell adhesion to FBN1 (By similarity). In brain, plays a role in synaptic transmission and plasticity. Involved in the regulation of the serotonin neurotransmission, is required to localize to specific compartments within the synapse the serotonin receptor SLC6A4 and for an appropriate reuptake of serotonin (By similarity). Controls excitatory synaptic strength by regulating GRIA2-containing AMPAR endocytosis, which affects AMPAR abundance and composition (PubMed:18549786). ITGAV:ITGB3 acts as a receptor for CD40LG (By similarity). ITGAV:ITGB3 acts as a receptor for IBSP and promotes cell adhesion and migration to IBSP (PubMed:10640428)"
ITPA,,"ITPA normally functions as Pyrophosphatase that hydrolyzes the non-canonical purine nucleotides inosine triphosphate (ITP), deoxyinosine triphosphate (dITP) as well as 2'-deoxy-N-6-hydroxylaminopurine triphosphate (dHAPTP) and xanthosine 5'-triphosphate (XTP) to their respective monophosphate derivatives. The enzyme does not distinguish between the deoxy- and ribose forms. Probably excludes non-canonical purines from RNA and DNA precursor pools, thus preventing their incorporation into RNA and DNA and avoiding chromosomal lesions"
K1576_HUMAN,HeLa cells with K1576_HUMAN knockdown showing high migration (distance) and migration (speed),
KIF11,HeLa cells with KIF11 knockdown showing low migration (distance) and increased proliferation,KIF11 normally functions as Motor protein required for establishing a bipolar spindle during mitosis. Required in non-mitotic cells for transport of secretory proteins from the Golgi complex to the cell surface
KLK1,"HeLa cells with KLK1 knockdown showing high migration (distance), migration (speed) and increased proliferation",KLK1 normally functions as Glandular kallikreins cleave Met-Lys and Arg-Ser bonds in kininogen to release Lys-bradykinin
KLK10,HeLa cells with KLK10 knockdown showing low migration (distance),KLK10 normally functions as Has a tumor-suppressor role for NES1 in breast and prostate cancer
KLK11,HeLa cells with KLK11 knockdown showing high migration (distance),"KLK11 normally functions as Possible multifunctional protease. Efficiently cleaves 'bz-Phe-Arg-4-methylcoumaryl-7-amide', a kallikrein substrate, and weakly cleaves other substrates for kallikrein and trypsin (By similarity)"
KLK12,HeLa cells with KLK12 knockdown showing high migration (distance),KLK12 normally functions as Glandular kallikreins cleave Met-Lys and Arg-Ser bonds in kininogen to release Lys-bradykinin
KLK13,HeLa cells with KLK13 knockdown showing high migration (distance),
KLK14,HeLa cells with KLK14 knockdown showing low migration (distance),"KLK14 normally functions as Serine-type endopeptidase with a dual trypsin-like and chymotrypsin-like substrate specificity. May activate/inactivate the proteinase-activated receptors F2R, F2RL1 and F2RL3 and other kallikreins including KLK1, KLK3, KLK5 and KLK11. May function in seminal clot liquefaction through direct cleavage of the semenogelin SEMG1 and SEMG2 and activation of KLK3. May function through desmoglein DSG1 cleavage in epidermal desquamation a process by which the most superficial corneocytes are shed from the skin surface. May be involved in several aspects of tumor progression including growth, invasion and angiogenesis"
KLK15,HeLa cells with KLK15 knockdown showing low migration (distance),KLK15 normally functions as Protease whose physiological substrate is not yet known
